"tab_code","表章項目","cat01_code","データの種別","cat02_code","銘柄","area_code","地域","time_code","時間軸（月）","unit","value","annotation","time"
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2024000303","2024年3月","円",589,NA,2024-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2024000202","2024年2月","円",581,NA,2024-02-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2024000101","2024年1月","円",576,NA,2024-01-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023001212","2023年12月","円",576,NA,2023-12-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023001111","2023年11月","円",571,NA,2023-11-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023001010","2023年10月","円",584,NA,2023-10-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000909","2023年9月","円",595,NA,2023-09-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000808","2023年8月","円",588,NA,2023-08-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000707","2023年7月","円",569,NA,2023-07-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000606","2023年6月","円",541,NA,2023-06-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000505","2023年5月","円",538,NA,2023-05-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000404","2023年4月","円",524,NA,2023-04-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000303","2023年3月","円",564,NA,2023-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000202","2023年2月","円",560,NA,2023-02-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2023000101","2023年1月","円",567,NA,2023-01-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022001212","2022年12月","円",560,NA,2022-12-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022001111","2022年11月","円",564,NA,2022-11-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022001010","2022年10月","円",555,NA,2022-10-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000909","2022年9月","円",549,NA,2022-09-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000808","2022年8月","円",544,NA,2022-08-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000707","2022年7月","円",551,NA,2022-07-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000606","2022年6月","円",534,NA,2022-06-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000505","2022年5月","円",530,NA,2022-05-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000404","2022年4月","円",539,NA,2022-04-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000303","2022年3月","円",526,NA,2022-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000202","2022年2月","円",520,NA,2022-02-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2022000101","2022年1月","円",505,NA,2022-01-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021001212","2021年12月","円",479,NA,2021-12-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021001111","2021年11月","円",473,NA,2021-11-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021001010","2021年10月","円",474,NA,2021-10-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000909","2021年9月","円",470,NA,2021-09-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000808","2021年8月","円",495,NA,2021-08-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000707","2021年7月","円",490,NA,2021-07-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000606","2021年6月","円",471,NA,2021-06-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000505","2021年5月","円",477,NA,2021-05-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000404","2021年4月","円",472,NA,2021-04-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000303","2021年3月","円",470,NA,2021-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000202","2021年2月","円",486,NA,2021-02-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2021000101","2021年1月","円",492,NA,2021-01-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020001212","2020年12月","円",487,NA,2020-12-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020001111","2020年11月","円",490,NA,2020-11-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020001010","2020年10月","円",491,NA,2020-10-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000909","2020年9月","円",494,NA,2020-09-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000808","2020年8月","円",486,NA,2020-08-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000707","2020年7月","円",479,NA,2020-07-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000606","2020年6月","円",483,NA,2020-06-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000505","2020年5月","円",488,NA,2020-05-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000404","2020年4月","円",488,NA,2020-04-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000303","2020年3月","円",493,NA,2020-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000202","2020年2月","円",484,NA,2020-02-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2020000101","2020年1月","円",478,NA,2020-01-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019001212","2019年12月","円",489,NA,2019-12-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019001111","2019年11月","円",491,NA,2019-11-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019001010","2019年10月","円",491,NA,2019-10-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000909","2019年9月","円",500,NA,2019-09-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000808","2019年8月","円",496,NA,2019-08-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000707","2019年7月","円",483,NA,2019-07-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000606","2019年6月","円",498,NA,2019-06-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000505","2019年5月","円",495,NA,2019-05-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000404","2019年4月","円",502,NA,2019-04-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000303","2019年3月","円",480,NA,2019-03-01
"10","価格","0020","価格","01021","1021 食パン","01100","札幌市","2019000202","2019年2月","円",479,NA,2019-02-01
